mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_samples,param_model__max_features,param_model__max_depth,param_model__bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
16.113626289367676,1.4165165017206152,0.24974188804626465,0.034542648022309115,400,10,4,0.8,0.5,12,True,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_samples': 0.8, 'model__max_features': 0.5, 'model__max_depth': 12, 'model__bootstrap': True}",0.8226400692672156,0.8126998948130504,0.8162800911727512,0.8179548156546725,0.8231435186045695,0.8185436779024519,0.003938510914644759,4
3.7965142726898193,0.3370504904202033,0.32318949699401855,0.030280738170277703,400,10,16,0.6,sqrt,12,True,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 16, 'model__max_samples': 0.6, 'model__max_features': 'sqrt', 'model__max_depth': 12, 'model__bootstrap': True}",0.7954387153078895,0.7836746341016503,0.7872272097379438,0.7849217314561825,0.7941050937370708,0.7890734768681474,0.004808879790753869,10
3.09562201499939,0.16216798629064988,0.2832554817199707,0.04302896523650903,400,20,8,0.6,log2,16,True,"{'model__n_estimators': 400, 'model__min_samples_split': 20, 'model__min_samples_leaf': 8, 'model__max_samples': 0.6, 'model__max_features': 'log2', 'model__max_depth': 16, 'model__bootstrap': True}",0.7927727121308479,0.780828490164297,0.7880052828427395,0.7811347992292584,0.7915104841091346,0.7868503536952556,0.005040940576697335,11
5.791535091400147,1.2187771603859532,0.27316603660583494,0.06746974184322038,200,10,4,1.0,sqrt,20,True,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_samples': 1.0, 'model__max_features': 'sqrt', 'model__max_depth': 20, 'model__bootstrap': True}",0.8235919428683125,0.8113685256123678,0.8147232565551928,0.8145191435929526,0.8233958201245055,0.8175197377506663,0.005021181179786388,6
7.2150492668151855,0.3165352080803011,0.15934624671936035,0.01971582014174224,200,20,16,0.6,0.3,20,True,"{'model__n_estimators': 200, 'model__min_samples_split': 20, 'model__min_samples_leaf': 16, 'model__max_samples': 0.6, 'model__max_features': 0.3, 'model__max_depth': 20, 'model__bootstrap': True}",0.8249918784464982,0.8156116514351095,0.8185039931104131,0.8177808205409922,0.8247698824268033,0.8203316451919633,0.0038351292894850007,3
7.879487371444702,0.27897107537946786,0.44197955131530764,0.06908307828810124,600,10,8,0.6,sqrt,20,True,"{'model__n_estimators': 600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 8, 'model__max_samples': 0.6, 'model__max_features': 'sqrt', 'model__max_depth': 20, 'model__bootstrap': True}",0.8109796176537795,0.7989055597536958,0.8035634750008088,0.8012853609357391,0.8099582687090354,0.8049384564106117,0.0047607912614653315,7
3.3408260345458984,0.17323303206498997,0.31712937355041504,0.049772374071833964,400,5,16,1.0,log2,12,True,"{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 16, 'model__max_samples': 1.0, 'model__max_features': 'log2', 'model__max_depth': 12, 'model__bootstrap': True}",0.7829289419129976,0.7730751718156839,0.77968483994859,0.7721867003711207,0.7836528234708567,0.7783056955038498,0.004830501086668557,15
19.397274017333984,1.023414314424351,0.3557125091552734,0.07121837101647802,400,20,4,1.0,0.5,12,True,"{'model__n_estimators': 400, 'model__min_samples_split': 20, 'model__min_samples_leaf': 4, 'model__max_samples': 1.0, 'model__max_features': 0.5, 'model__max_depth': 12, 'model__bootstrap': True}",0.8208999576027376,0.8121476116638344,0.8160799365563218,0.8167919224962774,0.8226158538978003,0.8177070564433944,0.003706300737575596,5
27.05902805328369,1.440321961097224,0.41768388748168944,0.020986581555831208,600,20,16,1.0,0.3,16,True,"{'model__n_estimators': 600, 'model__min_samples_split': 20, 'model__min_samples_leaf': 16, 'model__max_samples': 1.0, 'model__max_features': 0.3, 'model__max_depth': 16, 'model__bootstrap': True}",0.8295084601809868,0.8194350971722139,0.8208678139673846,0.8234264542790407,0.8282162248120128,0.8242908100823276,0.003966729498594626,2
3.0427529335021974,0.11063334155979858,0.28662934303283694,0.029643645459857856,400,10,16,1.0,sqrt,8,True,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 16, 'model__max_samples': 1.0, 'model__max_features': 'sqrt', 'model__max_depth': 8, 'model__bootstrap': True}",0.7834847177140717,0.7726580749066094,0.7775375233972658,0.776619875577144,0.7841144010127857,0.7788829185215753,0.004341084986579724,14
3.5585999488830566,0.15417760782402604,0.29611430168151853,0.01025489735727317,400,20,4,0.6,log2,16,True,"{'model__n_estimators': 400, 'model__min_samples_split': 20, 'model__min_samples_leaf': 4, 'model__max_samples': 0.6, 'model__max_features': 'log2', 'model__max_depth': 16, 'model__bootstrap': True}",0.7982315317249904,0.7859734890311435,0.792490777054261,0.7872759146016148,0.7971633461308374,0.7922270117085694,0.004982191059227454,9
2.125420093536377,0.15512451455174883,0.19776816368103028,0.025431942447216298,200,20,16,1.0,log2,20,True,"{'model__n_estimators': 200, 'model__min_samples_split': 20, 'model__min_samples_leaf': 16, 'model__max_samples': 1.0, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__bootstrap': True}",0.7895856906486507,0.7787957024208152,0.7872108600487254,0.7788690765075963,0.7895703783559028,0.7848063415963382,0.004953762865348307,13
5.039802122116089,0.2733884290607583,0.28752598762512205,0.014088518341340657,400,10,16,1.0,sqrt,16,True,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 16, 'model__max_samples': 1.0, 'model__max_features': 'sqrt', 'model__max_depth': 16, 'model__bootstrap': True}",0.8042292645726824,0.7916590606467859,0.7964398293574331,0.7940467511618605,0.8024098753499694,0.7977569562177462,0.0048213111704099925,8
1.8523748397827149,0.1243069135270669,0.1756679058074951,0.009265057270090441,200,10,4,1.0,log2,12,True,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_samples': 1.0, 'model__max_features': 'log2', 'model__max_depth': 12, 'model__bootstrap': True}",0.7917132967725772,0.7802198937660028,0.7870239572856625,0.7808876607690758,0.7903092122065747,0.7860308041599786,0.00472864577617472,12
27.34563331604004,0.980080781232004,0.28708767890930176,0.02950347105732925,400,5,16,1.0,0.5,16,True,"{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 16, 'model__max_samples': 1.0, 'model__max_features': 0.5, 'model__max_depth': 16, 'model__bootstrap': True}",0.8338251002805378,0.8246219434993843,0.8261396421793069,0.8283292958206065,0.8331367928587311,0.8292105549277133,0.0036870543979337163,1
